activity_id,bookings_during,bookings_baseline,lift,channel,restaurant_id,activity_start,activity_end,window_hours,crm_campaign_name,crm_topic,crm_audience,kol_platform,kol_username,kol_post_url,fb_campaign,fb_amount_spent_thb,window_days,lift_per_day,cost_per_incremental_booking,total_campaign_revenue,aov_thb,incremental_revenue_thb,roi,roi_percentage
CRM_005dde7ddbe8,4.0,3.0,1.0,CRM,3316.0,2025-03-02,2025-03-04,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250302_1500_nuatair-mar25,nuatair-mar25,group,,,,,0.0,2.0,0.5,,88400.0,22100.0,22100.0,,
CRM_00e026f097bf,2.0,0.0,2.0,CRM,3122.0,2025-09-26,2025-09-28,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250926_1700_ssd-the-oasis-at-hotel-nikko-sep25,ssd-the-oasis-at-hotel-nikko-sep25,single,,,,,0.0,2.0,1.0,,93950.0,46975.0,93950.0,,
CRM_01166ffb3fba,2.0,2.0,0.0,CRM,5828.0,2025-06-24,2025-06-26,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250624_1900_11th-purple-laurel-jun25,11th-purple-laurel-jun25,single,,,,,0.0,2.0,0.0,,136488.0,68244.0,0.0,,
CRM_018b7df785fe,3.0,2.0,1.0,CRM,2012.0,2025-07-17,2025-07-19,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250717_1500_oishi-eaterium-jul25,oishi-eaterium-jul25,group,,,,,0.0,2.0,0.5,,52830.0,17610.0,17610.0,,
CRM_01bf9cd4838a,14.0,24.0,-10.0,CRM,6133.0,2025-07-14,2025-07-16,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250714_1500_bangkok-wonderland-jul25,bangkok-wonderland-jul25,single,,,,,0.0,2.0,-5.0,,352500.0,25178.571428571428,-251785.71428571426,,
CRM_032b8a82c4d2,57.0,40.0,17.0,CRM,370.0,2025-04-03,2025-04-05,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250403_1500_orchid-cafe-apr25,orchid-cafe-apr25,single,,,,,0.0,2.0,8.5,,1574880.0,27629.473684210527,469701.05263157893,,
CRM_040ecc389a8b,4.0,7.0,-3.0,CRM,1747.0,2025-11-02,2025-11-04,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251102_1100_jumbo-seafood-sep25,jumbo-seafood-sep25,single,,,,,0.0,2.0,-1.5,,188690.0,47172.5,-141517.5,,
CRM_044d68c9632e,2.0,0.0,2.0,CRM,280.0,2025-01-02,2025-01-04,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250102_1100_weekly-new-week1-jan25,weekly-new-week1-jan25,group,,,,,0.0,2.0,1.0,,92980.0,46490.0,92980.0,,
CRM_04a8df1977f4,55.0,15.0,40.0,CRM,6017.0,2026-01-08,2026-01-10,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20260108_1500_the-emerald-coffee-shop-jan26,the-emerald-coffee-shop-jan26,single,,,,,0.0,2.0,20.0,,2275240.0,41368.0,1654720.0,,
CRM_04cc1bcbe38f,54.0,14.0,40.0,CRM,6462.0,2025-11-21,2025-11-23,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251121_1700_anchor-premium-buffet-nov25,anchor-premium-buffet-nov25,single,,,,,0.0,2.0,20.0,,2816448.0,52156.444444444445,2086257.7777777778,,
CRM_05cfced006ed,18.0,21.0,-3.0,CRM,894.0,2025-10-13,2025-10-15,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251013_1100_romsai-banyan-tree-oct25,romsai-banyan-tree-oct25,single,,,,,0.0,2.0,-1.5,,391600.0,21755.555555555555,-65266.666666666664,,
CRM_05f7753a3957,4.0,0.0,4.0,CRM,1364.0,2025-07-09,2025-07-11,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250709_1500_you-i-premium-suki-buffet-jul25,you-i-premium-suki-buffet-jul25,group,,,,,0.0,2.0,2.0,,47872.0,11968.0,47872.0,,
CRM_06d25b17abfd,1.0,3.0,-2.0,CRM,3111.0,2025-12-31,2026-01-02,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20251231_1500_you-i-premium-suki-buffet-dec25,you-i-premium-suki-buffet-dec25,group,,,,,0.0,2.0,-1.0,,16912.0,16912.0,-33824.0,,
CRM_06d56df435bd,4.0,4.0,0.0,CRM,4875.0,2025-03-02,2025-03-04,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250302_1500_nuatair-mar25,nuatair-mar25,group,,,,,0.0,2.0,0.0,,98390.0,24597.5,0.0,,
CRM_06d728a9de05,2.0,4.0,-2.0,CRM,1003.0,2025-01-30,2025-02-01,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250130_1500_greenhouse-jan25,greenhouse-jan25,single,,,,,0.0,2.0,-1.0,,64800.0,32400.0,-64800.0,,
CRM_06df8fec88db,66.0,26.0,40.0,CRM,2925.0,2025-12-20,2025-12-22,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251220_1500_jw-cafe-at-jw-marriott-dec25,jw-cafe-at-jw-marriott-dec25,single,,,,,0.0,2.0,20.0,,2390150.0,36214.393939393936,1448575.7575757573,,
CRM_07dcb50dcc21,7.0,2.0,5.0,CRM,2003.0,2025-07-17,2025-07-19,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250717_1500_oishi-eaterium-jul25,oishi-eaterium-jul25,group,,,,,0.0,2.0,2.5,,125820.0,17974.285714285714,89871.42857142857,,
CRM_07ea5d787b96,9.0,5.0,4.0,CRM,1856.0,2025-11-18,2025-11-20,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251118_1500_spectrum-rooftop-nov25,spectrum-rooftop-nov25,single,,,,,0.0,2.0,2.0,,230270.0,25585.555555555555,102342.22222222222,,
